Departamento,MODALIDAD DE SERVICIO,VIGENCIA,BENEFICIARIOS,codmpio
HUILA,CENTRO DE ATENCION ESPECIALIZADO,2022,65,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,57,50
META,CENTRO DE ATENCION ESPECIALIZADO,2022,57,50
META,DETENCIÓN DOMICILIARIA HOGAR,2022,1,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,31,52
NARIÑO,CENTRO DE ATENCION ESPECIALIZADO,2022,33,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,124,54
NORTE DE SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2022,67,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,19,63
QUINDIO,CENTRO DE ATENCION ESPECIALIZADO,2022,55,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,24,66
RISARALDA,CENTRO DE ATENCION ESPECIALIZADO,2022,71,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,16,68
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,168,68
SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2022,185,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,16,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADO,2022,15,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,134,76
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,271,76
VALLE,CENTRO DE ATENCION ESPECIALIZADO,2022,429,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,23,85
CASANARE,CENTRO DE ATENCION ESPECIALIZADO,2022,19,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,14,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2022,12,91
AMAZONAS,CENTRO DE ATENCION ESPECIALIZADO,2022,6,91
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,128,5
ANTIOQUIA,CENTRO DE ATENCION ESPECIALIZADO,2023,282,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,33,8
ATLANTICO,CENTRO DE ATENCION ESPECIALIZADO,2023,63,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,230,11
BOGOTA,CENTRO DE ATENCION ESPECIALIZADO,2023,203,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,25,13
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,24,13
BOLIVAR,CENTRO DE ATENCION ESPECIALIZADO,2023,45,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,20,15
BOYACA,CENTRO DE ATENCION ESPECIALIZADO,2023,32,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,31,17
CALDAS,CENTRO DE ATENCION ESPECIALIZADO,2023,83,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,29,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,42,19
CAUCA,CENTRO DE ATENCION ESPECIALIZADO,2023,67,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,26,20
CESAR,CENTRO DE ATENCION ESPECIALIZADO,2023,10,20
CESAR,DETENCIÓN DOMICILIARIA HOGAR,2023,1,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,38,23
CORDOBA,CENTRO DE ATENCION ESPECIALIZADO,2023,18,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,76,25
CUNDINAMARCA,CENTRO DE ATENCION ESPECIALIZADO,2023,52,25
CUNDINAMARCA,DETENCIÓN DOMICILIARIA HOGAR,2023,1,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,118,27
CHOCO,CENTRO DE ATENCION ESPECIALIZADO,2023,25,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,69,41
HUILA,CENTRO DE ATENCION ESPECIALIZADO,2023,64,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,60,50
META,CENTRO DE ATENCION ESPECIALIZADO,2023,54,50
META,DETENCIÓN DOMICILIARIA HOGAR,2023,2,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,29,52
NARIÑO,CENTRO DE ATENCION ESPECIALIZADO,2023,31,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,40,54
NORTE DE SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2023,90,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,21,63
QUINDIO,CENTRO DE ATENCION ESPECIALIZADO,2023,48,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,33,66
RISARALDA,CENTRO DE ATENCION ESPECIALIZADO,2023,58,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,19,68
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,171,68
SANTANDER,CENTRO DE ATENCION ESPECIALIZADO,2023,185,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,2,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADO,2023,11,73
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,7,73
TOLIMA,CENTRO DE ATENCION ESPECIALIZADO,2023,16,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,145,76
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,279,76
VALLE,CENTRO DE ATENCION ESPECIALIZADO,2023,382,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,20,85
CASANARE,CENTRO DE ATENCION ESPECIALIZADO,2023,18,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,8,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,11,91
AMAZONAS,CENTRO DE ATENCION ESPECIALIZADO,2023,10,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,2,95
