Departamento,Modalidad de Servicio,Vigencia,Beneficiarios,Vinculación educación,Porcentaje de vinculación,codmpio
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,46,11.0,23.91,88
SAN ANDRES,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,5.0,SR,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,48,1.0,2.08,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,5,11.0,220,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,42,2.0,4.76,95
GUAVIARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,8.0,SR,95
PUTUMAYO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,1.0,SR,86
SUCRE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2020,SR,2.0,SR,70
SUCRE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2020,SR,4.0,SR,70
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,138,0.0,0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,316,557.0,176.27,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,31,18.0,58.06,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,60,33.0,55,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,157,180.0,114.65,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,210,871.0,414.76,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,35,47.0,134.29,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,56,77.0,137.5,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,7,0.0,0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,34,23.0,67.65,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,44,13.0,29.55,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,80,67.0,83.75,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,12,11.0,91.67,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,23,6.0,26.09,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,62,92.0,148.39,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,20,11.0,55,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,15,19.0,126.67,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,59,51.0,86.44,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,40,13.0,32.5,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,41,22.0,53.66,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,42,67.0,159.52,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,26,15.0,57.69,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,31,63.0,203.23,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,60,102.0,170,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,53,176.0,332.08,41
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,SR,1.0,SR,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,SR,6.0,SR,47
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,40,11.0,27.5,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,60,70.0,116.67,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,30,6.0,20,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,34,46.0,135.29,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,83,17.0,20.48,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,99,119.0,120.2,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,39,0.0,0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,71,59.0,83.1,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,29,0.0,0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,59,0.0,0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,171,133.0,77.78,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,171,173.0,101.17,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,12,13.0,108.33,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,35,62.0,177.14,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,589,117.0,19.86,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,437,507.0,116.02,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,32,14.0,43.75,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,24,32.0,133.33,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,20,19.0,95,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,16,2.0,12.5,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,7,5.0,71.43,91
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,122,67.0,54.92,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,288,376.0,130.56,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,37,10.0,27.03,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,60,40.0,66.67,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,184,167.0,90.76,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,174,379.0,217.82,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,36,12.0,33.33,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,53,37.0,69.81,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,19,3.0,15.79,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,24,22.0,91.67,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,35,24.0,68.57,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,77,117.0,151.95,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,10,9.0,90,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,20,18.0,90,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,56,68.0,121.43,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,21,28.0,133.33,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,11,20.0,181.82,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,46,13.0,28.26,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,25,25.0,100,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,49,0.0,0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,42,160.0,380.95,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,40,7.0,17.5,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,33,21.0,63.64,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,58,34.0,58.62,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,65,94.0,144.62,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,57,15.0,26.32,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,57,76.0,133.33,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,31,5.0,16.13,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,33,20.0,60.61,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,124,6.0,4.84,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,67,76.0,113.43,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,19,0.0,0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,55,32.0,58.18,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,24,5.0,20.83,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,71,54.0,76.06,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,184,0.0,0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,185,0.0,0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,16,4.0,25,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,15,13.0,86.67,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,405,136.0,33.58,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,429,432.0,100.7,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,23,0.0,0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,19,0.0,0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,14,0.0,0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,12,5.0,41.67,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,6,8.0,133.33,91
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,SR,2.0,SR,47
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,395,78.0,19.75,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,836,299.0,35.77,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,103,6.0,5.83,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,185,53.0,28.65,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,647,44.0,6.8,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,602,211.0,35.05,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,167,15.0,8.98,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,134,118.0,88.06,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,58,9.0,15.52,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,96,31.0,32.29,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,97,9.0,9.28,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,252,74.0,29.37,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,82,5.0,6.1,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,138,16.0,11.59,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,200,80.0,40,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,83,28.0,33.73,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,31,19.0,61.29,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,125,9.0,7.2,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,54,15.0,27.78,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,229,25.0,10.92,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,151,7.0,4.64,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,369,23.0,6.23,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,77,43.0,55.84,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,221,24.0,10.86,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,191,39.0,20.42,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,198,21.0,10.61,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,170,63.0,37.06,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,87,8.0,9.2,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,94,31.0,32.98,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,125,7.0,5.6,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,273,84.0,30.77,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,60,1.0,1.67,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,141,43.0,30.5,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,96,18.0,18.75,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,168,101.0,60.12,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,514,90.0,17.51,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,559,141.0,25.22,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,31,3.0,9.68,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,59,17.0,28.81,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,1293,222.0,17.17,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,1155,628.0,54.37,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,66,3.0,4.55,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,55,14.0,25.45,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,17,2.0,11.76,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,36,2.0,5.56,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,29,10.0,34.48,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,2,0.0,0,95
