Departamento,Modalidad de Servicio,Vigencia,Beneficiarios,Vinculación educación,codmpio
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,23,6.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,62,92.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,20,11.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,15,19.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,59,51.0,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,40,13.0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,41,22.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,42,67.0,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,26,15.0,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,31,63.0,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,60,102.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,53,176.0,41
MAGDALENA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,SR,1.0,47
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,SR,6.0,47
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,40,11.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,60,70.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,30,6.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,34,46.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,83,17.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,99,119.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,39,0.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,71,59.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,29,0.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,59,0.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,171,133.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,171,173.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,12,13.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,35,62.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,589,117.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,437,507.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,32,14.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,24,32.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,20,19.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2021,16,2.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2021,7,5.0,91
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,122,67.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,288,376.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,37,10.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,60,40.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,184,167.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,174,379.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,36,12.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,53,37.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,19,3.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,24,22.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,35,24.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,77,117.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,10,9.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,20,18.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,56,68.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,21,28.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,11,20.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,46,13.0,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,25,25.0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,49,0.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,42,160.0,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,40,7.0,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,33,21.0,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,58,34.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,65,94.0,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,57,15.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,57,76.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,31,5.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,33,20.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,124,6.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,67,76.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,19,0.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,55,32.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,24,5.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,71,54.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,184,0.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,185,0.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,16,4.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,15,13.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,405,136.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,429,432.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,23,0.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,19,0.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,14,0.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2022,12,5.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,6,8.0,91
MAGDALENA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2022,SR,2.0,47
ANTIOQUIA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,395,78.0,5
ANTIOQUIA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,836,299.0,5
ATLANTICO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,103,6.0,8
ATLANTICO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,185,53.0,8
BOGOTA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,647,44.0,11
BOGOTA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,602,211.0,11
BOLIVAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,167,15.0,13
BOLIVAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,134,118.0,13
BOYACA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,58,9.0,15
BOYACA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,96,31.0,15
CALDAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,97,9.0,17
CALDAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,252,74.0,17
CAQUETA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,82,5.0,18
CAUCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,138,16.0,19
CAUCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,200,80.0,19
CESAR,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,83,28.0,20
CESAR,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,31,19.0,20
CORDOBA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,125,9.0,23
CORDOBA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,54,15.0,23
CUNDINAMARCA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,229,25.0,25
CUNDINAMARCA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,151,7.0,25
CHOCO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,369,23.0,27
CHOCO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,77,43.0,27
HUILA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,221,24.0,41
HUILA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,191,39.0,41
META,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,198,21.0,50
META,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,170,63.0,50
NARIÑO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,87,8.0,52
NARIÑO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,94,31.0,52
NORTE DE SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,125,7.0,54
NORTE DE SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,273,84.0,54
QUINDIO,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,60,1.0,63
QUINDIO,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,141,43.0,63
RISARALDA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,96,18.0,66
RISARALDA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,168,101.0,66
SANTANDER,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,514,90.0,68
SANTANDER,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,559,141.0,68
TOLIMA,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,31,3.0,73
TOLIMA,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,59,17.0,73
VALLE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,1293,222.0,76
VALLE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,1155,628.0,76
CASANARE,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,66,3.0,85
CASANARE,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,55,14.0,85
SAN ANDRES,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,17,2.0,88
AMAZONAS,CENTRO DE INTERNAMIENTO PREVENTIVO ,2023,36,2.0,91
AMAZONAS,CENTRO DE ATENCIÓN ESPECIALIZADA ,2023,29,10.0,91
GUAVIARE,CENTRO DE INTERNAMIENTO PREVENTIVO,2023,2,0.0,95
